id,name
214,University of Sufism and Modern Sciences
215,Government College University Hyderabad
216,Shaikh Ayaz University
217,Ziauddin University
218,Salim Habib University
219,Mirpur University of Science and Technology
220,University of Azad Jammu and Kashmir
221,University of Poonch
222,Al-Khair University
223,Mohi-ud-Din Islamic University
224,Women University of Azad Jammu and Kashmir Bagh
225,University of Kotli
226,Karakoram International University
227,Baltistan University
